"What is the objective of Slay the Spire?","To ascend the spire and defeat the final boss while managing your deck and resources."
"What are the different character classes in Slay the Spire?","The Ironclad, The Silent, The Defect, and The Watcher."
"What is the significance of relics in the game?","Relics provide unique bonuses and effects that can significantly alter gameplay."
"How do you obtain cards in Slay the Spire?","You can obtain cards by defeating enemies, opening chests, and visiting merchants."
"What happens when you die in Slay the Spire?","You lose your current run and must start over, but you retain some unlocks and progress."
"What is a 'deck' in Slay the Spire?","A deck is a collection of cards that you use to play the game, consisting of attack, skill, and power cards."
"What are 'status' cards?","Status cards are negative cards that can clutter your deck, such as 'Burn' or 'Dazed.'"
"What is the 'Ascension' system?","Ascension is a difficulty system that increases the challenge of the game with each level."
"How do you heal your character?","You can heal by resting at campfires or through certain cards and relics."
"What is the role of potions in Slay the Spire?","Potions provide temporary effects that can aid you in battles, such as healing or dealing damage."
"What is the starting relic of the Ironclad?","The Ironclad starts with the 'Burning Blood' relic, which heals 6 HP after each combat."
"What unique mechanic does The Silent have?","The Silent specializes in poison and shiv cards, focusing on quick, low-cost attacks."
"What is the Defect's unique mechanic?","The Defect uses orbs to deal damage and provide various effects, including channeling and evoking."
"What is the Watcher's unique ability?","The Watcher can enter different stances, such as Calm and Wrath, to manipulate damage and energy."
"What are elite enemies?","Elite enemies are stronger foes that provide better rewards when defeated."
"What is a campfire used for?","Campfires allow you to rest, heal, or upgrade cards."
"What is the purpose of the map in Slay the Spire?","The map shows your path through the spire, including enemies, events, and treasures."
"What are the different types of cards?","There are Attack, Skill, and Power cards."
"What is a 'boss' in Slay the Spire?","A boss is a powerful enemy that you encounter at the end of each act."
"What is the 'Card Removal' option at campfires?","You can remove a card from your deck to streamline your strategy."
"What does the 'Strength' stat do?","Strength increases the damage of your attack cards."
"What is the 'Dexterity' stat?","Dexterity increases the effectiveness of your skill cards and reduces damage taken."
"What is the 'Energy' resource?","Energy is used to play cards during your turn."
"What is a 'curse' card?","Curse cards are negative cards that can hinder your performance."
"What is the 'Shop' in Slay the Spire?","The Shop is a place where you can buy cards, relics, and potions using gold."
"What is the 'Nerd' enemy?","The Nerd is a common enemy that can deal damage and apply debuffs."
"What does the 'Poison' effect do?","Poison deals damage over time to the affected enemy."
"What is the 'Vulnerable' effect?","Vulnerable increases the damage taken by the affected enemy."
"What is the 'Weak' effect?","Weak reduces the damage dealt by the affected enemy."
"What is the 'Artifact' effect?","Artifact blocks the next debuff applied to the character."
"What is the 'Intangible' effect?","Intangible allows you to avoid all damage for one turn."
"What is the 'Focus' stat?","Focus increases the effectiveness of your orb effects."
"What is the 'Channel' action?","Channel allows you to create an orb that provides various benefits."
"What does 'Evoking' an orb do?","Evoking an orb triggers its effect and removes it from play."
"What is the 'Exhaust' mechanic?","Exhaust removes a card from your deck for the remainder of the combat."
"What is the 'Upgrade' option at campfires?","Upgrading a card enhances its effects or reduces its cost."
"What is the 'Rest' option at campfires?","Resting heals your character but does not upgrade cards."
